transaction_id,store_name,product_name,product_category,total_price,age_group
T381,Store_6,Product_G,Toys,172.0,26-40
T1475,Store_1,Product_D,Home,219.01,60+
T1059,Store_4,Product_D,Electronics,237.65,18-25
T1473,Store_6,Product_G,Toys,68.41,60+
T218,Store_7,Product_F,Clothing,124.03,41-60
T368,Store_4,Product_B,Toys,127.8,26-40
T16,Store_5,Product_G,Groceries,135.16,41-60
T1055,Store_7,Product_E,Toys,44.54,60+
T1229,Store_6,Product_H,Clothing,13.22,60+
T1520,Store_2,Product_B,Toys,16.38,18-25
T1910,Store_2,Product_H,Toys,268.92,26-40
T1579,Store_1,Product_F,Toys,135.55,41-60
T710,Store_1,Product_D,Toys,42.78,41-60
T1850,Store_3,Product_G,Electronics,58.87,41-60
T222,Store_3,Product_F,Clothing,126.58,18-25
T1206,Store_8,Product_C,Groceries,160.56,41-60
T1398,Store_4,Product_H,Clothing,44.22,26-40
T1374,Store_7,Product_B,Groceries,203.87,60+
T742,Store_5,Product_I,Home,268.55,41-60
T1711,Store_10,Product_H,Home,231.68,41-60
T824,Store_5,Product_G,Toys,214.95,41-60
T1681,Store_2,Product_H,Groceries,289.17,41-60
T336,Store_10,Product_G,Groceries,280.0,60+
T216,Store_3,Product_A,Toys,16.38,18-25
T1683,Store_6,Product_G,Clothing,256.06,60+
T471,Store_3,Product_D,Toys,152.3,60+
T1934,Store_8,Product_G,Clothing,76.68,26-40
T901,Store_7,Product_C,Electronics,255.42,60+
T424,Store_3,Product_E,Groceries,47.81,41-60
T1939,Store_4,Product_J,Clothing,261.14,18-25
T795,Store_5,Product_A,Clothing,119.03,26-40
T1120,Store_2,Product_J,Electronics,285.46,41-60
T122,Store_2,Product_C,Groceries,98.99,18-25
T1327,Store_5,Product_J,Toys,65.94,60+
T188,Store_8,Product_D,Home,137.68,60+
T869,Store_3,Product_B,Home,100.7,26-40
T794,Store_9,Product_H,Home,183.77,41-60
T1543,Store_9,Product_H,Electronics,277.59,60+
T1847,Store_5,Product_J,Clothing,216.56,26-40
T296,Store_9,Product_A,Electronics,67.25,41-60
T1386,Store_8,Product_A,Toys,140.98,41-60
T1033,Store_9,Product_E,Groceries,245.01,26-40
T613,Store_9,Product_C,Electronics,282.96,26-40
T1606,Store_4,Product_E,Electronics,105.39,26-40
T1685,Store_1,Product_I,Home,168.85,41-60
T1698,Store_4,Product_I,Groceries,35.15,41-60
T1306,Store_10,Product_H,Electronics,164.93,26-40
T1171,Store_2,Product_G,Clothing,294.77,26-40
T49,Store_4,Product_B,Groceries,19.09,26-40
T436,Store_8,Product_J,Groceries,291.62,26-40
T1813,Store_5,Product_F,Groceries,31.53,26-40
T1917,Store_2,Product_B,Electronics,49.55,41-60
T1696,Store_1,Product_H,Electronics,230.77,18-25
T279,Store_1,Product_B,Home,75.59,18-25
T401,Store_8,Product_D,Groceries,89.99,26-40
T654,Store_2,Product_I,Toys,98.39,26-40
T1723,Store_7,Product_F,Home,16.14,18-25
T83,Store_9,Product_E,Clothing,108.81,26-40
T1491,Store_3,Product_J,Electronics,265.84,60+
T1682,Store_10,Product_F,Clothing,9.35,41-60
T1434,Store_2,Product_H,Clothing,266.91,60+
T1168,Store_4,Product_F,Toys,109.26,60+
T342,Store_10,Product_F,Electronics,40.97,26-40
T479,Store_5,Product_F,Electronics,78.29,60+
T599,Store_6,Product_G,Groceries,77.81,26-40
T93,Store_4,Product_G,Toys,283.5,26-40
T1477,Store_7,Product_D,Electronics,88.79,41-60
T1494,Store_10,Product_H,Home,40.52,18-25
T1958,Store_6,Product_A,Toys,82.36,41-60
T1707,Store_6,Product_E,Toys,151.32,41-60
T847,Store_10,Product_D,Clothing,185.91,41-60
T1747,Store_7,Product_J,Clothing,192.34,26-40
T519,Store_4,Product_J,Home,199.66,26-40
T340,Store_2,Product_D,Home,241.62,18-25
T1166,Store_8,Product_H,Home,276.25,18-25
T379,Store_3,Product_F,Groceries,209.85,41-60
T986,Store_9,Product_G,Electronics,251.07,18-25
T556,Store_5,Product_F,Home,292.58,60+
T780,Store_8,Product_G,Clothing,170.77,18-25
T233,Store_7,Product_B,Toys,179.68,41-60
T1208,Store_2,Product_H,Home,192.83,18-25
T849,Store_6,Product_G,Toys,279.88,26-40
T863,Store_10,Product_G,Electronics,191.5,60+
T621,Store_10,Product_D,Electronics,222.11,60+
T1113,Store_5,Product_I,Home,279.63,60+
T686,Store_4,Product_C,Clothing,154.2,60+
T1474,Store_6,Product_C,Toys,123.2,41-60
T680,Store_9,Product_H,Home,251.07,26-40
T1664,Store_9,Product_H,Home,15.91,18-25
T400,Store_6,Product_D,Groceries,13.84,41-60
T637,Store_5,Product_A,Home,139.97,60+
T62,Store_7,Product_H,Groceries,239.78,41-60
T675,Store_9,Product_A,Home,228.68,60+
T1554,Store_7,Product_E,Groceries,219.61,26-40
T1803,Store_4,Product_C,Toys,276.87,18-25
T937,Store_1,Product_C,Groceries,215.7,60+
T279,Store_9,Product_I,Toys,243.93,41-60
T712,Store_1,Product_I,Home,207.72,41-60
T1630,Store_4,Product_H,Clothing,56.06,18-25
T1935,Store_7,Product_D,Toys,168.94,41-60
T1501,Store_3,Product_G,Electronics,147.68,41-60
T302,Store_10,Product_C,Groceries,221.17,41-60
T757,Store_6,Product_H,Groceries,137.39,26-40
T1130,Store_4,Product_C,Toys,197.19,26-40
T714,Store_5,Product_J,Clothing,147.24,18-25
T1669,Store_1,Product_H,Clothing,43.56,18-25
T35,Store_7,Product_E,Toys,295.49,18-25
T124,Store_5,Product_F,Clothing,246.66,26-40
T512,Store_1,Product_I,Toys,144.91,18-25
T190,Store_8,Product_G,Home,241.97,26-40
T1663,Store_1,Product_I,Groceries,16.21,18-25
T1221,Store_4,Product_F,Groceries,198.55,60+
T1686,Store_6,Product_A,Home,162.02,26-40
T959,Store_5,Product_F,Groceries,272.7,41-60
T57,Store_8,Product_D,Groceries,19.25,18-25
T84,Store_5,Product_E,Home,286.63,26-40
T721,Store_2,Product_F,Clothing,30.6,41-60
T627,Store_10,Product_D,Toys,165.88,18-25
T1363,Store_2,Product_G,Toys,154.16,18-25
T372,Store_6,Product_B,Toys,264.37,41-60
T207,Store_3,Product_B,Toys,179.96,60+
T1040,Store_9,Product_F,Groceries,106.91,18-25
T1588,Store_3,Product_E,Groceries,279.21,60+
T1932,Store_7,Product_D,Clothing,65.88,18-25
T1096,Store_1,Product_D,Toys,172.69,26-40
T352,Store_9,Product_A,Toys,207.49,60+
T1669,Store_9,Product_E,Home,247.37,41-60
T302,Store_6,Product_H,Groceries,56.27,18-25
T1605,Store_5,Product_H,Toys,204.83,26-40
T1852,Store_10,Product_G,Home,220.89,26-40
T1946,Store_7,Product_D,Electronics,124.29,18-25
T127,Store_5,Product_F,Home,262.86,26-40
T291,Store_2,Product_H,Electronics,275.96,60+
T508,Store_6,Product_F,Groceries,94.08,41-60
T286,Store_2,Product_F,Clothing,149.79,41-60
T1479,Store_10,Product_E,Electronics,108.12,18-25
T1971,Store_8,Product_I,Electronics,154.63,60+
T817,Store_9,Product_C,Toys,6.77,60+
T1284,Store_1,Product_I,Clothing,162.92,60+
T1843,Store_9,Product_C,Clothing,155.77,60+
T290,Store_7,Product_E,Clothing,225.5,41-60
T1582,Store_7,Product_F,Toys,25.14,60+
T972,Store_6,Product_B,Home,192.42,60+
T594,Store_2,Product_H,Toys,205.77,18-25
T186,Store_3,Product_B,Groceries,160.69,26-40
T416,Store_4,Product_F,Electronics,37.17,41-60
T481,Store_9,Product_H,Home,163.32,60+
T22,Store_2,Product_B,Toys,143.15,18-25
T677,Store_3,Product_C,Clothing,233.04,60+
T789,Store_7,Product_D,Home,101.03,18-25
T1002,Store_1,Product_F,Toys,52.42,60+
T1219,Store_6,Product_A,Electronics,250.59,41-60
T1925,Store_5,Product_H,Electronics,90.45,41-60
T1711,Store_3,Product_A,Toys,284.79,41-60
T63,Store_8,Product_E,Clothing,92.76,18-25
T1210,Store_4,Product_A,Home,117.07,60+
T903,Store_6,Product_D,Clothing,261.83,60+
T950,Store_1,Product_D,Groceries,196.65,18-25
T1105,Store_6,Product_G,Electronics,141.88,60+
T404,Store_1,Product_D,Clothing,61.31,41-60
T605,Store_2,Product_C,Clothing,93.68,60+
T1414,Store_7,Product_G,Electronics,50.32,18-25
T1188,Store_10,Product_I,Groceries,93.32,18-25
T677,Store_1,Product_C,Electronics,133.76,41-60
T998,Store_10,Product_E,Groceries,159.71,26-40
T1745,Store_5,Product_D,Toys,69.55,41-60
T1929,Store_8,Product_I,Groceries,283.42,41-60
T732,Store_5,Product_D,Groceries,264.15,60+
T1526,Store_9,Product_H,Toys,294.32,60+
T1094,Store_7,Product_G,Home,237.12,26-40
T1937,Store_2,Product_C,Home,253.93,26-40
T483,Store_7,Product_E,Groceries,37.84,60+
T18,Store_3,Product_B,Groceries,248.38,60+
T1732,Store_4,Product_E,Clothing,141.94,41-60
T940,Store_7,Product_E,Toys,82.54,26-40
T458,Store_7,Product_G,Home,7.44,26-40
T1639,Store_9,Product_H,Electronics,289.48,60+
T548,Store_1,Product_D,Groceries,200.49,41-60
T1118,Store_5,Product_C,Toys,181.81,18-25
T1979,Store_5,Product_I,Clothing,226.29,18-25
T1276,Store_10,Product_F,Home,205.13,60+
T1694,Store_2,Product_E,Clothing,166.53,60+
T1204,Store_1,Product_J,Clothing,89.09,26-40
T1789,Store_3,Product_B,Toys,191.24,60+
T1771,Store_3,Product_C,Clothing,51.38,18-25
T343,Store_7,Product_A,Groceries,252.49,41-60
T1529,Store_6,Product_C,Groceries,84.03,26-40
T231,Store_2,Product_I,Toys,237.01,60+
T109,Store_8,Product_B,Toys,84.16,41-60
T884,Store_4,Product_H,Electronics,64.38,18-25
T1673,Store_10,Product_D,Clothing,18.57,26-40
T126,Store_9,Product_B,Electronics,23.37,18-25
T1580,Store_2,Product_H,Clothing,263.85,41-60
T454,Store_6,Product_I,Clothing,91.19,26-40
T89,Store_3,Product_J,Clothing,48.1,60+
T797,Store_3,Product_B,Clothing,94.88,26-40
T627,Store_1,Product_D,Clothing,192.88,18-25
T1730,Store_6,Product_D,Clothing,9.5,60+
T853,Store_9,Product_B,Clothing,141.71,26-40
T1321,Store_6,Product_J,Groceries,109.15,60+
T1599,Store_7,Product_E,Electronics,90.02,18-25
T1640,Store_10,Product_B,Groceries,201.01,18-25
T1621,Store_6,Product_D,Home,98.94,60+
T477,Store_7,Product_D,Clothing,113.91,41-60
T1687,Store_6,Product_C,Groceries,19.56,41-60
T606,Store_4,Product_E,Toys,96.93,26-40
T493,Store_5,Product_A,Groceries,34.7,18-25
T470,Store_6,Product_H,Groceries,39.22,18-25
T1727,Store_10,Product_D,Electronics,124.1,41-60
T283,Store_4,Product_C,Electronics,234.11,18-25
T957,Store_2,Product_B,Electronics,229.91,18-25
T193,Store_10,Product_C,Electronics,278.73,26-40
T1357,Store_4,Product_B,Clothing,211.72,26-40
T563,Store_1,Product_F,Toys,241.96,60+
T1380,Store_10,Product_A,Groceries,32.87,60+
T756,Store_3,Product_C,Clothing,133.68,18-25
T1404,Store_10,Product_B,Electronics,148.26,18-25
T1968,Store_4,Product_D,Toys,290.98,41-60
T1766,Store_5,Product_F,Home,33.2,26-40
T1629,Store_9,Product_F,Toys,196.27,60+
T1107,Store_10,Product_C,Electronics,254.39,60+
T1436,Store_8,Product_C,Groceries,258.93,60+
T1914,Store_9,Product_A,Clothing,219.8,60+
T803,Store_6,Product_B,Groceries,159.88,26-40
T1457,Store_1,Product_J,Groceries,37.92,60+
T1473,Store_1,Product_I,Toys,33.15,26-40
T817,Store_5,Product_G,Groceries,20.51,60+
T954,Store_7,Product_I,Toys,35.65,26-40
T1288,Store_9,Product_D,Toys,139.2,18-25
T463,Store_3,Product_G,Groceries,198.91,60+
T1442,Store_8,Product_I,Home,64.6,41-60
T1694,Store_2,Product_H,Groceries,212.18,60+
T1616,Store_1,Product_F,Toys,298.46,60+
T163,Store_10,Product_D,Home,95.01,41-60
T1754,Store_3,Product_A,Electronics,217.38,26-40
T1304,Store_5,Product_D,Electronics,246.6,18-25
T1061,Store_9,Product_F,Toys,18.92,18-25
T1490,Store_10,Product_H,Toys,82.63,18-25
T657,Store_3,Product_C,Groceries,8.89,26-40
T1315,Store_1,Product_H,Home,246.04,26-40
T624,Store_7,Product_B,Groceries,152.65,18-25
T1434,Store_6,Product_I,Clothing,201.72,41-60
T236,Store_5,Product_C,Clothing,270.71,26-40
T148,Store_3,Product_G,Home,273.25,18-25
T1087,Store_6,Product_A,Home,295.35,18-25
T1545,Store_2,Product_I,Groceries,7.76,60+
T1045,Store_4,Product_I,Electronics,131.4,18-25
T924,Store_9,Product_B,Home,285.37,60+
T990,Store_1,Product_E,Home,34.08,60+
T331,Store_7,Product_G,Electronics,217.87,41-60
T699,Store_5,Product_E,Electronics,189.42,41-60
T88,Store_3,Product_J,Electronics,235.13,41-60
T904,Store_3,Product_F,Home,298.85,41-60
T771,Store_7,Product_J,Toys,27.72,18-25
T503,Store_3,Product_C,Groceries,25.1,26-40
T119,Store_2,Product_E,Home,215.33,26-40
T1413,Store_9,Product_G,Toys,131.26,26-40
T934,Store_9,Product_F,Groceries,96.89,26-40
T891,Store_8,Product_I,Groceries,69.74,26-40
T1069,Store_1,Product_J,Home,231.76,60+
T334,Store_8,Product_C,Toys,78.05,60+
T233,Store_2,Product_J,Electronics,202.67,18-25
T560,Store_8,Product_E,Groceries,165.77,26-40
T1817,Store_7,Product_E,Toys,21.9,41-60
T1877,Store_6,Product_E,Groceries,185.29,60+
T1762,Store_6,Product_B,Clothing,132.5,60+
T66,Store_3,Product_E,Toys,74.54,41-60
T1501,Store_3,Product_I,Electronics,182.47,18-25
T882,Store_9,Product_F,Home,164.61,41-60
T208,Store_5,Product_F,Toys,73.25,26-40
T268,Store_6,Product_A,Electronics,167.78,60+
T1733,Store_4,Product_B,Home,148.71,26-40
T1174,Store_9,Product_E,Clothing,29.89,60+
T1080,Store_7,Product_C,Home,162.42,41-60
T1292,Store_4,Product_F,Electronics,287.19,60+
T1873,Store_3,Product_A,Clothing,97.1,41-60
T46,Store_9,Product_H,Groceries,25.85,41-60
T698,Store_9,Product_C,Clothing,87.01,26-40
T1427,Store_10,Product_D,Clothing,273.13,60+
T1109,Store_8,Product_D,Groceries,124.87,60+
T1045,Store_2,Product_J,Toys,45.84,18-25
T1896,Store_3,Product_I,Groceries,132.16,18-25
T914,Store_3,Product_C,Clothing,234.15,60+
T1587,Store_3,Product_G,Electronics,55.15,41-60
T369,Store_1,Product_G,Groceries,152.69,41-60
T1781,Store_4,Product_I,Clothing,215.53,41-60
T1445,Store_2,Product_G,Clothing,133.99,26-40
T1539,Store_5,Product_H,Home,43.37,60+
T1743,Store_2,Product_E,Clothing,259.92,41-60
T1918,Store_10,Product_B,Home,244.78,26-40
T819,Store_8,Product_H,Toys,254.48,60+
T1631,Store_8,Product_C,Groceries,256.23,41-60
T1491,Store_4,Product_A,Electronics,238.9,26-40
T551,Store_6,Product_B,Clothing,122.62,41-60
T666,Store_1,Product_A,Electronics,55.66,60+
T1279,Store_5,Product_B,Groceries,31.6,18-25
T874,Store_3,Product_D,Toys,206.05,60+
T1458,Store_9,Product_C,Home,137.17,60+
T1741,Store_4,Product_E,Electronics,272.41,18-25
T1998,Store_10,Product_B,Electronics,29.04,60+
T1475,Store_1,Product_F,Home,105.01,41-60
T1514,Store_4,Product_I,Clothing,114.86,41-60
T1808,Store_7,Product_C,Groceries,83.18,41-60
T1760,Store_3,Product_E,Toys,253.19,26-40
T276,Store_6,Product_C,Electronics,124.94,26-40
T1895,Store_2,Product_J,Home,18.27,41-60
T873,Store_1,Product_A,Groceries,133.87,60+
T1384,Store_1,Product_E,Toys,220.56,26-40
T1687,Store_7,Product_G,Toys,221.74,18-25
T479,Store_6,Product_D,Clothing,281.31,41-60
T237,Store_3,Product_H,Clothing,55.48,41-60
T853,Store_8,Product_E,Clothing,145.09,60+
T965,Store_5,Product_J,Toys,109.27,41-60
T1685,Store_5,Product_H,Toys,57.86,26-40
T605,Store_8,Product_F,Toys,233.94,18-25
T1194,Store_6,Product_J,Electronics,110.66,26-40
T1735,Store_3,Product_B,Clothing,23.26,60+
T1553,Store_3,Product_I,Clothing,99.45,41-60
T792,Store_4,Product_A,Toys,158.5,41-60
T300,Store_9,Product_A,Toys,69.74,18-25
T818,Store_4,Product_J,Clothing,22.68,60+
T1288,Store_9,Product_C,Electronics,99.78,18-25
T1072,Store_8,Product_C,Groceries,172.72,26-40
T1553,Store_1,Product_E,Home,45.25,18-25
T941,Store_10,Product_D,Groceries,68.78,41-60
T509,Store_9,Product_B,Toys,221.6,60+
T815,Store_6,Product_G,Electronics,83.26,41-60
T1827,Store_1,Product_B,Clothing,195.35,18-25
T1461,Store_3,Product_I,Clothing,191.17,18-25
T481,Store_1,Product_E,Toys,141.77,26-40
T652,Store_6,Product_D,Home,237.62,26-40
T1141,Store_5,Product_I,Electronics,281.31,26-40
T1478,Store_9,Product_E,Home,247.18,41-60
T1436,Store_4,Product_D,Toys,62.53,18-25
T650,Store_8,Product_B,Clothing,22.15,18-25
T1379,Store_1,Product_D,Home,241.53,41-60
T512,Store_8,Product_G,Clothing,23.81,18-25
T496,Store_8,Product_H,Groceries,188.79,18-25
T426,Store_2,Product_H,Home,104.54,60+
T1969,Store_9,Product_C,Clothing,77.11,18-25
T1761,Store_10,Product_A,Electronics,105.69,18-25
T1323,Store_5,Product_H,Toys,123.23,41-60
T583,Store_4,Product_I,Clothing,64.68,41-60
T1393,Store_7,Product_G,Electronics,98.54,18-25
T1242,Store_8,Product_J,Groceries,228.75,41-60
T1120,Store_7,Product_C,Electronics,247.65,60+
T190,Store_3,Product_C,Groceries,36.1,60+
T1160,Store_2,Product_H,Home,267.71,41-60
T265,Store_7,Product_D,Home,235.02,18-25
T810,Store_9,Product_H,Electronics,181.76,26-40
T1474,Store_4,Product_G,Clothing,283.2,26-40
T1892,Store_1,Product_B,Toys,102.62,26-40
T757,Store_6,Product_J,Electronics,291.04,18-25
T1641,Store_2,Product_B,Electronics,262.09,60+
T1794,Store_4,Product_G,Clothing,109.67,26-40
T1857,Store_9,Product_G,Home,209.01,18-25
T524,Store_3,Product_A,Toys,51.12,60+
T1705,Store_2,Product_I,Clothing,206.82,26-40
T704,Store_8,Product_H,Electronics,293.31,60+
T1640,Store_7,Product_H,Clothing,222.29,60+
T622,Store_4,Product_B,Toys,242.28,41-60
T1306,Store_9,Product_J,Home,187.9,60+
T698,Store_9,Product_B,Electronics,63.12,26-40
T1507,Store_1,Product_H,Home,109.63,26-40
T662,Store_5,Product_D,Electronics,6.76,60+
T1703,Store_1,Product_C,Toys,197.92,26-40
T1185,Store_5,Product_D,Groceries,209.75,26-40
T554,Store_6,Product_H,Clothing,243.89,18-25
T1708,Store_8,Product_D,Clothing,111.24,41-60
T1789,Store_10,Product_D,Toys,283.77,26-40
T1048,Store_8,Product_D,Groceries,74.99,41-60
T242,Store_5,Product_I,Toys,14.0,41-60
T1736,Store_10,Product_D,Groceries,254.66,60+
T115,Store_6,Product_G,Electronics,75.38,41-60
T960,Store_6,Product_H,Home,239.6,60+
T1459,Store_10,Product_B,Clothing,62.3,18-25
T428,Store_1,Product_E,Toys,88.59,41-60
T1961,Store_4,Product_G,Home,110.87,18-25
T1565,Store_6,Product_H,Toys,102.43,26-40
T1536,Store_3,Product_J,Toys,72.56,18-25
T651,Store_1,Product_A,Home,231.76,60+
T1452,Store_3,Product_A,Groceries,212.78,41-60
T213,Store_5,Product_A,Toys,283.01,60+
T27,Store_9,Product_D,Toys,34.0,41-60
T987,Store_2,Product_G,Toys,270.58,41-60
T143,Store_9,Product_J,Clothing,201.9,18-25
T166,Store_4,Product_E,Clothing,285.77,41-60
T1484,Store_9,Product_A,Electronics,218.08,60+
T125,Store_7,Product_B,Electronics,220.69,60+
T1491,Store_7,Product_E,Clothing,226.17,26-40
T877,Store_10,Product_I,Home,64.83,26-40
T883,Store_6,Product_F,Electronics,48.68,18-25
T1087,Store_5,Product_I,Electronics,114.08,60+
T533,Store_7,Product_B,Groceries,239.56,41-60
T863,Store_5,Product_E,Electronics,24.73,18-25
T336,Store_1,Product_B,Electronics,122.34,60+
T1162,Store_9,Product_D,Clothing,107.4,41-60
T10,Store_3,Product_B,Electronics,75.46,18-25
T913,Store_4,Product_F,Clothing,103.36,26-40
T1940,Store_6,Product_B,Toys,19.77,26-40
T74,Store_2,Product_J,Clothing,21.3,18-25
T704,Store_4,Product_G,Home,18.74,41-60
T541,Store_9,Product_G,Clothing,233.21,41-60
T1518,Store_3,Product_F,Groceries,241.61,41-60
T90,Store_6,Product_H,Toys,46.13,60+
T1755,Store_6,Product_H,Clothing,256.78,41-60
T1318,Store_9,Product_E,Home,287.09,26-40
T879,Store_5,Product_C,Electronics,269.8,26-40
T1709,Store_1,Product_I,Home,48.46,18-25
T864,Store_6,Product_E,Groceries,122.4,26-40
T1335,Store_2,Product_I,Electronics,11.06,26-40
T511,Store_8,Product_F,Clothing,170.19,18-25
T537,Store_10,Product_F,Groceries,13.99,41-60
T1750,Store_7,Product_I,Toys,112.54,60+
T1389,Store_3,Product_I,Electronics,90.02,26-40
T1194,Store_7,Product_F,Clothing,182.52,41-60
T330,Store_6,Product_B,Electronics,171.85,18-25
T254,Store_2,Product_I,Electronics,108.57,18-25
T1566,Store_9,Product_H,Toys,18.25,26-40
T615,Store_3,Product_D,Groceries,209.45,41-60
T164,Store_6,Product_G,Toys,159.01,41-60
T818,Store_8,Product_G,Groceries,32.74,41-60
T533,Store_3,Product_G,Clothing,220.69,41-60
T1250,Store_5,Product_G,Home,295.96,26-40
T334,Store_7,Product_B,Home,125.52,60+
T447,Store_6,Product_J,Home,72.21,41-60
T1001,Store_9,Product_B,Groceries,83.37,60+
T735,Store_7,Product_H,Groceries,136.94,26-40
T357,Store_7,Product_B,Electronics,171.43,18-25
T1669,Store_5,Product_F,Toys,195.77,41-60
T315,Store_7,Product_J,Groceries,73.81,41-60
T527,Store_1,Product_I,Groceries,130.72,41-60
T502,Store_2,Product_F,Clothing,289.82,60+
T359,Store_2,Product_A,Home,294.78,60+
T652,Store_6,Product_A,Clothing,144.25,60+
T1174,Store_7,Product_C,Clothing,295.47,60+
T332,Store_7,Product_B,Home,170.88,26-40
T746,Store_2,Product_I,Groceries,293.31,41-60
T1298,Store_2,Product_B,Toys,153.21,60+
T464,Store_6,Product_C,Clothing,116.94,60+
T1748,Store_1,Product_G,Clothing,48.66,60+
T1104,Store_4,Product_I,Clothing,104.78,41-60
T1047,Store_5,Product_E,Groceries,19.13,60+
T1445,Store_4,Product_J,Home,158.92,18-25
T1554,Store_7,Product_H,Toys,130.68,26-40
T1292,Store_8,Product_I,Toys,191.4,60+
T1657,Store_1,Product_D,Groceries,138.32,41-60
T572,Store_8,Product_D,Home,56.08,60+
T1275,Store_8,Product_B,Electronics,275.93,18-25
T456,Store_3,Product_H,Toys,30.43,41-60
T1005,Store_8,Product_I,Home,234.33,60+
T391,Store_5,Product_B,Clothing,65.51,26-40
T1633,Store_10,Product_H,Home,275.75,60+
T806,Store_9,Product_D,Electronics,225.86,26-40
T470,Store_7,Product_H,Toys,258.33,18-25
T1045,Store_7,Product_D,Clothing,182.93,41-60
T692,Store_10,Product_B,Home,190.09,60+
T891,Store_8,Product_I,Clothing,116.6,18-25
T1704,Store_5,Product_D,Groceries,232.14,41-60
T657,Store_6,Product_F,Electronics,158.33,60+
T277,Store_3,Product_F,Home,267.78,41-60
T1676,Store_4,Product_B,Home,250.93,26-40
T1086,Store_8,Product_A,Home,213.4,18-25
T736,Store_1,Product_C,Home,71.21,60+
T639,Store_8,Product_G,Toys,117.79,18-25
T35,Store_3,Product_C,Clothing,297.22,18-25
T563,Store_7,Product_B,Home,40.42,41-60
T1949,Store_7,Product_B,Clothing,254.3,60+
T1357,Store_9,Product_G,Electronics,264.55,60+
T1670,Store_10,Product_B,Electronics,283.49,18-25
T299,Store_6,Product_F,Home,21.26,26-40
T655,Store_3,Product_E,Electronics,77.93,18-25
T1963,Store_6,Product_C,Clothing,40.8,26-40
T1722,Store_8,Product_J,Home,34.41,26-40
T895,Store_8,Product_B,Home,61.9,60+
T1345,Store_3,Product_F,Groceries,296.97,26-40
T35,Store_5,Product_A,Clothing,91.26,60+
T2000,Store_9,Product_J,Toys,183.0,26-40
T1159,Store_4,Product_J,Home,81.16,41-60
T419,Store_6,Product_G,Toys,207.3,60+
T121,Store_4,Product_C,Clothing,119.3,60+
T1425,Store_6,Product_I,Toys,206.39,18-25
T662,Store_9,Product_D,Groceries,35.96,18-25
T219,Store_1,Product_E,Clothing,34.13,18-25
T490,Store_8,Product_C,Toys,205.29,41-60
T1862,Store_6,Product_G,Home,166.27,60+
T758,Store_9,Product_A,Groceries,37.45,26-40
T1130,Store_7,Product_I,Toys,293.9,41-60
T1251,Store_2,Product_A,Clothing,169.73,60+
T990,Store_4,Product_I,Clothing,290.89,60+
T234,Store_4,Product_D,Toys,268.76,18-25
